epoch,train_loss,val_loss
1,0.3444230258464813,0.2330150157213211
2,0.22202032804489136,0.19542808830738068
3,0.1897520273923874,0.18515822291374207
4,0.17005528509616852,0.1884905844926834
5,0.15142598748207092,0.18513138592243195
6,0.13169848918914795,0.20335279405117035
7,0.11482247710227966,0.20945528149604797
8,0.1027565747499466,0.23304250836372375
9,0.08470353484153748,0.2423614263534546
10,0.07082298398017883,0.2573992908000946
11,0.05930287018418312,0.29588690400123596
12,0.050460200756788254,0.31253862380981445
