epoch,train_loss,val_loss
1,0.4092802107334137,0.44784510135650635
2,0.31536251306533813,0.2730269730091095
3,0.2425701916217804,0.28212547302246094
4,0.21836255490779877,0.2523840367794037
5,0.2010393589735031,0.2158402055501938
6,0.18608371913433075,0.2093118578195572
7,0.17383423447608948,0.20673078298568726
8,0.1605270653963089,0.21057237684726715
9,0.14634659886360168,0.20997750759124756
10,0.15966473519802094,0.2113247513771057
11,0.2042318731546402,0.31954726576805115
12,0.284866064786911,0.31764039397239685
