epoch,train_loss,val_loss
1,0.3123209476470947,0.22229436039924622
2,0.21181142330169678,0.19385695457458496
3,0.1847003698348999,0.18421076238155365
4,0.1690201759338379,0.17883485555648804
5,0.15305368602275848,0.18709109723567963
6,0.14240100979804993,0.19393448531627655
7,0.12327907234430313,0.20005257427692413
8,0.10403598099946976,0.22036753594875336
9,0.08586809039115906,0.23942998051643372
10,0.07088158279657364,0.2764773964881897
11,0.05961934104561806,0.30907049775123596
12,0.04926149547100067,0.33493372797966003
