epoch,train_loss,val_loss
1,0.32382988929748535,0.2298828661441803
2,0.21840214729309082,0.19052357971668243
3,0.1852097362279892,0.18957629799842834
4,0.16381977498531342,0.19993305206298828
5,0.14500433206558228,0.19863532483577728
6,0.12645313143730164,0.21674485504627228
7,0.10942492634057999,0.2594539523124695
8,0.09318935126066208,0.24686989188194275
9,0.07932615280151367,0.24982032179832458
10,0.06738506257534027,0.28614258766174316
11,0.05507907271385193,0.3401513695716858
12,0.048395268619060516,0.33101949095726013
