epoch,train_loss,val_loss
1,0.2881237864494324,0.22807879745960236
2,0.20782291889190674,0.19179899990558624
3,0.18433934450149536,0.1841403990983963
4,0.1681654453277588,0.1851796954870224
5,0.1548791229724884,0.1898566484451294
6,0.14148451387882233,0.2025616317987442
7,0.12849774956703186,0.20584890246391296
8,0.11652883142232895,0.22304119169712067
9,0.10529593378305435,0.23634275794029236
10,0.09528287500143051,0.21961425244808197
11,0.08652946352958679,0.26187410950660706
12,0.07765155285596848,0.24741683900356293
13,0.06898099184036255,0.26312604546546936
14,0.06179296597838402,0.27864909172058105
15,0.05745164304971695,0.30231305956840515
16,0.05212972313165665,0.3116828501224518
17,0.0477265901863575,0.32345491647720337
18,0.04299353063106537,0.34855613112449646
19,0.04065054655075073,0.3580145537853241
20,0.03821016103029251,0.3423715829849243
21,0.03553055226802826,0.3421980142593384
22,0.033220332115888596,0.3487170338630676
23,0.031785935163497925,0.33181247115135193
