epoch,train_loss,val_loss
1,0.37588199973106384,0.25784924626350403
2,0.24757356941699982,0.2552948594093323
3,0.2089436799287796,0.21453338861465454
4,0.18805477023124695,0.2281590700149536
5,0.17416799068450928,0.1948872208595276
6,0.15982401371002197,0.23890960216522217
7,0.1511019766330719,0.2123737782239914
8,0.15271364152431488,0.19690018892288208
9,0.134059339761734,0.20244117081165314
10,0.12083669006824493,0.19186487793922424
11,0.10765490680932999,0.20765246450901031
12,0.09948050230741501,0.21571816504001617
13,0.0883827954530716,0.2357960045337677
14,0.08021488785743713,0.25305309891700745
