epoch,train_loss,val_loss
1,0.3847816288471222,0.2866009771823883
2,0.2534089982509613,0.253905326128006
3,0.2182147204875946,0.20621350407600403
4,0.19964267313480377,0.20223575830459595
5,0.18623000383377075,0.20592272281646729
6,0.17642122507095337,0.18604636192321777
7,0.16687533259391785,0.18523412942886353
8,0.15770962834358215,0.18956539034843445
9,0.1503709852695465,0.18308429419994354
10,0.14251552522182465,0.18852390348911285
11,0.13495664298534393,0.1924629509449005
12,0.12705647945404053,0.2432686686515808
