epoch,train_loss,val_loss
1,0.4119788408279419,0.4055016040802002
2,0.30282723903656006,0.2791602909564972
3,0.2690827250480652,0.29340168833732605
4,0.2412022352218628,0.26334279775619507
5,0.22374750673770905,0.2496996819972992
6,0.20817625522613525,0.2581063210964203
7,0.1955033838748932,0.23851880431175232
8,0.1986558437347412,0.8469143509864807
9,0.23258717358112335,0.2261030077934265
10,0.1820281445980072,0.2162005752325058
11,0.1663702130317688,0.2136123776435852
12,0.15567685663700104,0.2153386026620865
13,0.14832377433776855,0.217479407787323
14,0.14204329252243042,0.22980202734470367
