epoch,train_loss,val_loss
1,0.33604705333709717,0.2765100598335266
2,0.22287462651729584,0.21653275191783905
3,0.19207951426506042,0.2183723747730255
4,0.1735227257013321,0.22022435069084167
5,0.15871362388134003,0.20980386435985565
6,0.14422248303890228,0.21846242249011993
7,0.12580230832099915,0.21407383680343628
8,0.11060298979282379,0.20375420153141022
9,0.1136050596833229,0.1982501745223999
10,0.08323229104280472,0.24625994265079498
11,0.06587870419025421,0.27761080861091614
12,0.055794503539800644,0.31637871265411377
