epoch,train_loss,val_loss
1,0.4043810963630676,0.4069371819496155
2,0.29119348526000977,0.2681165933609009
3,0.2524576783180237,0.27721333503723145
4,0.22759170830249786,0.22183924913406372
5,0.20504461228847504,0.2301435023546219
6,0.18767888844013214,0.2159513533115387
7,0.17221173644065857,0.21488559246063232
8,0.16179515421390533,0.21155758202075958
9,0.15314915776252747,0.21011120080947876
10,0.1431349217891693,0.21878595650196075
11,0.13136082887649536,0.22448576986789703
12,0.11863460391759872,0.23089739680290222
