epoch,train_loss,val_loss
1,0.36643487215042114,0.7677502036094666
2,0.27482426166534424,0.2672956585884094
3,0.2524801790714264,0.26775190234184265
4,0.22548872232437134,0.213605597615242
5,0.19412946701049805,0.19804981350898743
6,0.1783384084701538,0.18965256214141846
7,0.16789086163043976,0.18649716675281525
8,0.15668712556362152,0.2005462944507599
9,0.14873211085796356,0.18549750745296478
10,0.13933955132961273,0.19137252867221832
11,0.13067027926445007,0.19422902166843414
12,0.12328992038965225,0.2000146508216858
