fold,epoch,train_loss,val_loss
0,1,0.308858722448349,0.23532229661941528
0,2,0.2109116166830063,0.21238094568252563
0,3,0.18438653647899628,0.20110824704170227
0,4,0.16708238422870636,0.195404052734375
0,5,0.15322545170783997,0.18740308284759521
0,6,0.13918830454349518,0.19746346771717072
0,7,0.12369219213724136,0.20142138004302979
0,8,0.10805846750736237,0.20555181801319122
1,1,0.3362380564212799,0.2622164785861969
1,2,0.2185540795326233,0.2197076827287674
1,3,0.19095757603645325,0.19642169773578644
1,4,0.1726590096950531,0.19990481436252594
1,5,0.15888850390911102,0.19528916478157043
1,6,0.14628316462039948,0.218589186668396
1,7,0.1301703006029129,0.23476973176002502
1,8,0.11549945175647736,0.25807544589042664
2,1,0.3306626081466675,0.2666238844394684
2,2,0.21852384507656097,0.19661302864551544
2,3,0.18880435824394226,0.19023269414901733
2,4,0.17178615927696228,0.19092689454555511
2,5,0.15763147175312042,0.19031375646591187
2,6,0.14329645037651062,0.20141802728176117
3,1,0.3260643184185028,0.23327456414699554
3,2,0.21551614999771118,0.20471230149269104
3,3,0.18778257071971893,0.1993083953857422
3,4,0.17083287239074707,0.20164240896701813
3,5,0.15547624230384827,0.19264470040798187
3,6,0.14075657725334167,0.2098647654056549
3,7,0.1262935847043991,0.2157772332429886
3,8,0.10995753109455109,0.21560879051685333
4,1,0.3378785252571106,0.2598973214626312
4,2,0.22397591173648834,0.19984859228134155
4,3,0.1944710612297058,0.1856081187725067
4,4,0.17766420543193817,0.18270865082740784
4,5,0.16115406155586243,0.18728335201740265
4,6,0.1475801318883896,0.20878924429416656
4,7,0.1351599544286728,0.2185986489057541
