fold,epoch,train_loss,val_loss
0,1,0.3285195231437683,0.2645431458950043
0,2,0.2174491435289383,0.21974751353263855
0,3,0.18920327723026276,0.1967102289199829
0,4,0.16872182488441467,0.19069747626781464
0,5,0.15187500417232513,0.19477935135364532
0,6,0.1358029693365097,0.20038171112537384
0,7,0.12495774775743484,0.19531820714473724
1,1,0.33604705333709717,0.2765100598335266
1,2,0.22287462651729584,0.21653275191783905
1,3,0.19207951426506042,0.2183723747730255
1,4,0.1735227257013321,0.22022435069084167
1,5,0.15871362388134003,0.20980386435985565
1,6,0.14422248303890228,0.21846242249011993
1,7,0.12580230832099915,0.21407383680343628
1,8,0.11060298979282379,0.20375420153141022
1,9,0.1136050596833229,0.1982501745223999
1,10,0.08323229104280472,0.24625994265079498
1,11,0.06587870419025421,0.27761080861091614
1,12,0.055794503539800644,0.31637871265411377
2,1,0.3385176658630371,0.26145005226135254
2,2,0.2256840467453003,0.21373356878757477
2,3,0.19566360116004944,0.206964373588562
2,4,0.1764393448829651,0.2029603272676468
2,5,0.1616659164428711,0.21000538766384125
2,6,0.14791986346244812,0.20544368028640747
2,7,0.13310708105564117,0.2245916873216629
3,1,0.345894992351532,0.2481153905391693
3,2,0.2261020541191101,0.2142527550458908
3,3,0.19475676119327545,0.19726558029651642
3,4,0.17620165646076202,0.19350546598434448
3,5,0.1652269810438156,0.19940443336963654
3,6,0.1463458091020584,0.21375621855258942
3,7,0.1290999948978424,0.21651433408260345
4,1,0.3449088931083679,0.2520531713962555
4,2,0.22534681856632233,0.21065157651901245
4,3,0.19618183374404907,0.19605450332164764
4,4,0.1765509694814682,0.19014593958854675
4,5,0.16843892633914948,0.19163234531879425
4,6,0.15283100306987762,0.18416458368301392
4,7,0.13179369270801544,0.19991515576839447
4,8,0.11532118171453476,0.1920986920595169
4,9,0.10005557537078857,0.21745091676712036
