fold,epoch,train_loss,val_loss
0,1,0.36080294847488403,0.26258301734924316
0,2,0.24343277513980865,0.230058953166008
0,3,0.2117752879858017,0.21528497338294983
0,4,0.19203074276447296,0.21587955951690674
0,5,0.17611469328403473,0.21077343821525574
0,6,0.1657911092042923,0.1972428560256958
0,7,0.15480612218379974,0.2087109237909317
0,8,0.14359833300113678,0.1987529993057251
0,9,0.12670035660266876,0.20191718637943268
1,1,0.3472864031791687,0.47071564197540283
1,2,0.23360133171081543,0.23609445989131927
1,3,0.20309190452098846,0.22692559659481049
1,4,0.1872633993625641,0.22055751085281372
1,5,0.1716536283493042,0.21980220079421997
1,6,0.157783642411232,0.21486273407936096
1,7,0.14493362605571747,0.24177107214927673
1,8,0.1306803673505783,0.25654274225234985
1,9,0.11766432970762253,0.2258690744638443
2,1,0.34317076206207275,0.275367796421051
2,2,0.2276163250207901,0.21259820461273193
2,3,0.19574324786663055,0.19968847930431366
2,4,0.17697328329086304,0.2026374787092209
2,5,0.16201472282409668,0.2184683233499527
2,6,0.14770600199699402,0.2150607407093048
3,1,0.3627202808856964,0.30029550194740295
3,2,0.22571951150894165,0.21302106976509094
3,3,0.19265884160995483,0.20156045258045197
3,4,0.1757967323064804,0.19181004166603088
3,5,0.16196586191654205,0.2028641402721405
3,6,0.1492072343826294,0.20201560854911804
3,7,0.13423192501068115,0.20154398679733276
4,1,0.36103764176368713,0.27601367235183716
4,2,0.23877593874931335,0.22069519758224487
4,3,0.2042870968580246,0.20298828184604645
4,4,0.185055211186409,0.19318336248397827
4,5,0.1712147295475006,0.18819473683834076
4,6,0.16075684130191803,0.18499214947223663
4,7,0.14623184502124786,0.18892982602119446
4,8,0.13254496455192566,0.19663666188716888
4,9,0.11835703998804092,0.2015582174062729
